"GEOID","NAME","variable","estimate","moe"
"34021004312","Census Tract 43.12; Mercer County; New Jersey","B19013_001",232500,52463
"34021004313","Census Tract 43.13; Mercer County; New Jersey","B19013_001",128147,45572
"34021004314","Census Tract 43.14; Mercer County; New Jersey","B19013_001",146838,23367
"34021004315","Census Tract 43.15; Mercer County; New Jersey","B19013_001",250001,NA
"34021004316","Census Tract 43.16; Mercer County; New Jersey","B19013_001",178500,43350
"34021004403","Census Tract 44.03; Mercer County; New Jersey","B19013_001",107431,11046
"34021004404","Census Tract 44.04; Mercer County; New Jersey","B19013_001",98831,17021
"34021004406","Census Tract 44.06; Mercer County; New Jersey","B19013_001",90150,14415
"34021004407","Census Tract 44.07; Mercer County; New Jersey","B19013_001",102701,24510
"34021004408","Census Tract 44.08; Mercer County; New Jersey","B19013_001",170645,29390
"34021004409","Census Tract 44.09; Mercer County; New Jersey","B19013_001",89268,32308
"34021004501","Census Tract 45.01; Mercer County; New Jersey","B19013_001",191167,50000
"34021004502","Census Tract 45.02; Mercer County; New Jersey","B19013_001",150833,137547
"34021980000","Census Tract 9800; Mercer County; New Jersey","B19013_001",NA,NA
