"","year","period","periodName","value","seriesID"
"100","2024","M12","December","4.3","JTS000000340000000JOR"
"101","2024","M11","November","4.3","JTS000000340000000JOR"
"102","2024","M10","October","4.4","JTS000000340000000JOR"
"103","2024","M09","September","4.8","JTS000000340000000JOR"
"104","2024","M08","August","4.4","JTS000000340000000JOR"
"105","2024","M07","July","4.6","JTS000000340000000JOR"
"106","2024","M06","June","4.6","JTS000000340000000JOR"
"107","2024","M05","May","4.9","JTS000000340000000JOR"
"108","2024","M04","April","4.2","JTS000000340000000JOR"
"109","2024","M03","March","5.4","JTS000000340000000JOR"
"110","2024","M02","February","4.2","JTS000000340000000JOR"
"111","2024","M01","January","4.2","JTS000000340000000JOR"
"112","2023","M12","December","4.7","JTS000000340000000JOR"
"113","2023","M11","November","4.7","JTS000000340000000JOR"
"114","2023","M10","October","4.5","JTS000000340000000JOR"
"115","2023","M09","September","5.3","JTS000000340000000JOR"
"116","2023","M08","August","4.7","JTS000000340000000JOR"
"117","2023","M07","July","5.2","JTS000000340000000JOR"
"118","2023","M06","June","4.4","JTS000000340000000JOR"
"119","2023","M05","May","4.6","JTS000000340000000JOR"
"120","2023","M04","April","5.4","JTS000000340000000JOR"
"121","2023","M03","March","4.9","JTS000000340000000JOR"
"122","2023","M02","February","5.7","JTS000000340000000JOR"
"123","2023","M01","January","5.8","JTS000000340000000JOR"
"124","2022","M12","December","5.5","JTS000000340000000JOR"
"125","2022","M11","November","5.2","JTS000000340000000JOR"
"126","2022","M10","October","5.8","JTS000000340000000JOR"
"127","2022","M09","September","5.5","JTS000000340000000JOR"
"128","2022","M08","August","5.4","JTS000000340000000JOR"
"129","2022","M07","July","5.8","JTS000000340000000JOR"
"130","2022","M06","June","6.1","JTS000000340000000JOR"
"131","2022","M05","May","6.2","JTS000000340000000JOR"
"132","2022","M04","April","6.1","JTS000000340000000JOR"
"133","2022","M03","March","6.3","JTS000000340000000JOR"
"134","2022","M02","February","6.6","JTS000000340000000JOR"
"135","2022","M01","January","6.8","JTS000000340000000JOR"
"136","2021","M12","December","6.5","JTS000000340000000JOR"
"137","2021","M11","November","6.3","JTS000000340000000JOR"
"138","2021","M10","October","7.0","JTS000000340000000JOR"
