"TableName","SeriesCode","LineNumber","LineDescription","TimePeriod","METRIC_NAME","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"T10101","DDURRL","4","Durable goods","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",8.6,"T10101"
"T10101","DDURRL","4","Durable goods","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",13,"T10101"
"T10101","DDURRL","4","Durable goods","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",-3.4,"T10101"
"T10101","DDURRL","4","Durable goods","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",2.3,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",-3,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",0.1,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",-3,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",-0.9,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",1.8,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",0.6,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",3.3,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",3.2,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",-1.6,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",4.3,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",4.8,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",3.8,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",2.2,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",2.2,"T10101"
"T10101","DSERRL","6","Services","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",1.6,"T10101"
"T10101","DSERRL","6","Services","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",5.3,"T10101"
"T10101","DSERRL","6","Services","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",4.2,"T10101"
"T10101","DSERRL","6","Services","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",2.3,"T10101"
"T10101","DSERRL","6","Services","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",3.2,"T10101"
"T10101","DSERRL","6","Services","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",2,"T10101"
"T10101","DSERRL","6","Services","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",2.4,"T10101"
"T10101","DSERRL","6","Services","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",3.4,"T10101"
"T10101","DSERRL","6","Services","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",3.2,"T10101"
"T10101","DSERRL","6","Services","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",3.2,"T10101"
"T10101","DSERRL","6","Services","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",3,"T10101"
"T10101","DSERRL","6","Services","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",2.5,"T10101"
"T10101","DSERRL","6","Services","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",0.8,"T10101"
"T10101","DSERRL","6","Services","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",2.6,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",7.9,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",-8.6,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",-6.7,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",8,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",-7.1,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",7.2,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",9.4,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",3.6,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",-1.6,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",8.2,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",0.9,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",-6.8,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",23.3,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",-13.8,"T10101"
"T10101","A007RL","8","Fixed investment","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",6.7,"T10101"
"T10101","A007RL","8","Fixed investment","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",1.9,"T10101"
"T10101","A007RL","8","Fixed investment","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",-2.2,"T10101"
"T10101","A007RL","8","Fixed investment","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",-0.5,"T10101"
"T10101","A007RL","8","Fixed investment","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",4.9,"T10101"
"T10101","A007RL","8","Fixed investment","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",9.5,"T10101"
"T10101","A007RL","8","Fixed investment","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",3.8,"T10101"
"T10101","A007RL","8","Fixed investment","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",4.6,"T10101"
"T10101","A007RL","8","Fixed investment","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",3,"T10101"
"T10101","A007RL","8","Fixed investment","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",1.4,"T10101"
