"","year","period","periodName","value","seriesID"
"105","2024","M12","December","6180.8","SMS42000000000000001"
"106","2024","M11","November","6160.7","SMS42000000000000001"
"107","2024","M10","October","6156.8","SMS42000000000000001"
"108","2024","M09","September","6153.0","SMS42000000000000001"
"109","2024","M08","August","6147.9","SMS42000000000000001"
"110","2024","M07","July","6139.6","SMS42000000000000001"
"111","2024","M06","June","6135.6","SMS42000000000000001"
"112","2024","M05","May","6134.2","SMS42000000000000001"
"113","2024","M04","April","6128.1","SMS42000000000000001"
"114","2024","M03","March","6131.0","SMS42000000000000001"
"115","2024","M02","February","6121.1","SMS42000000000000001"
"116","2024","M01","January","6114.5","SMS42000000000000001"
"117","2023","M12","December","6114.1","SMS42000000000000001"
"118","2023","M11","November","6102.6","SMS42000000000000001"
"119","2023","M10","October","6101.3","SMS42000000000000001"
"120","2023","M09","September","6101.9","SMS42000000000000001"
"121","2023","M08","August","6100.0","SMS42000000000000001"
"122","2023","M07","July","6092.4","SMS42000000000000001"
"123","2023","M06","June","6095.2","SMS42000000000000001"
"124","2023","M05","May","6073.5","SMS42000000000000001"
"125","2023","M04","April","6072.1","SMS42000000000000001"
"126","2023","M03","March","6067.7","SMS42000000000000001"
"127","2023","M02","February","6061.4","SMS42000000000000001"
"128","2023","M01","January","6060.8","SMS42000000000000001"
"129","2025","M08","August","314.1","SMS50000000000000001"
"130","2025","M07","July","313.8","SMS50000000000000001"
"131","2025","M06","June","314.1","SMS50000000000000001"
"132","2025","M05","May","314.1","SMS50000000000000001"
"133","2025","M04","April","313.7","SMS50000000000000001"
"134","2025","M03","March","314.3","SMS50000000000000001"
"135","2025","M02","February","313.2","SMS50000000000000001"
"136","2025","M01","January","312.7","SMS50000000000000001"
"137","2024","M12","December","311.2","SMS50000000000000001"
"138","2024","M11","November","311.7","SMS50000000000000001"
"139","2024","M10","October","311.8","SMS50000000000000001"
"140","2024","M09","September","312.1","SMS50000000000000001"
"141","2024","M08","August","313.1","SMS50000000000000001"
"142","2024","M07","July","311.9","SMS50000000000000001"
"143","2024","M06","June","311.4","SMS50000000000000001"
"144","2024","M05","May","311.4","SMS50000000000000001"
"145","2024","M04","April","311.0","SMS50000000000000001"
"146","2024","M03","March","311.7","SMS50000000000000001"
"147","2024","M02","February","311.4","SMS50000000000000001"
"148","2024","M01","January","311.8","SMS50000000000000001"
"149","2023","M12","December","310.8","SMS50000000000000001"
"150","2023","M11","November","310.9","SMS50000000000000001"
"151","2023","M10","October","310.6","SMS50000000000000001"
"152","2023","M09","September","310.9","SMS50000000000000001"
"153","2023","M08","August","309.5","SMS50000000000000001"
"154","2023","M07","July","310.1","SMS50000000000000001"
"155","2023","M06","June","311.9","SMS50000000000000001"
"156","2023","M05","May","309.3","SMS50000000000000001"
"157","2023","M04","April","310.0","SMS50000000000000001"
"158","2023","M03","March","309.3","SMS50000000000000001"
"159","2023","M02","February","308.9","SMS50000000000000001"
"160","2023","M01","January","309.3","SMS50000000000000001"
"161","2025","M08","August","3068.7","SMS55000000000000001"
"162","2025","M07","July","3060.1","SMS55000000000000001"
"163","2025","M06","June","3056.7","SMS55000000000000001"
"164","2025","M05","May","3049.5","SMS55000000000000001"
"165","2025","M04","April","3050.5","SMS55000000000000001"
"166","2025","M03","March","3055.2","SMS55000000000000001"
"167","2025","M02","February","3045.2","SMS55000000000000001"
"168","2025","M01","January","3049.9","SMS55000000000000001"
"169","2024","M12","December","3047.6","SMS55000000000000001"
"170","2024","M11","November","3048.1","SMS55000000000000001"
"171","2024","M10","October","3046.1","SMS55000000000000001"
"172","2024","M09","September","3039.4","SMS55000000000000001"
"173","2024","M08","August","3045.9","SMS55000000000000001"
"174","2024","M07","July","3038.3","SMS55000000000000001"
"175","2024","M06","June","3035.5","SMS55000000000000001"
"176","2024","M05","May","3034.9","SMS55000000000000001"
"177","2024","M04","April","3038.6","SMS55000000000000001"
"178","2024","M03","March","3040.2","SMS55000000000000001"
"179","2024","M02","February","3034.9","SMS55000000000000001"
"180","2024","M01","January","3032.4","SMS55000000000000001"
"181","2023","M12","December","3032.5","SMS55000000000000001"
"182","2023","M11","November","3024.4","SMS55000000000000001"
"183","2023","M10","October","3026.6","SMS55000000000000001"
"184","2023","M09","September","3029.8","SMS55000000000000001"
"185","2023","M08","August","3024.1","SMS55000000000000001"
"186","2023","M07","July","3020.7","SMS55000000000000001"
"187","2023","M06","June","3025.4","SMS55000000000000001"
"188","2023","M05","May","3015.9","SMS55000000000000001"
"189","2023","M04","April","3016.3","SMS55000000000000001"
"190","2023","M03","March","3015.1","SMS55000000000000001"
"191","2023","M02","February","3011.7","SMS55000000000000001"
"192","2023","M01","January","3009.5","SMS55000000000000001"
